Symbol,Price,marketCap,num_of_shares_to_buy
A,136.8699951171875,39326580736,73062
AAPL,222.91000366210938,3369462923264,44861
ABBV,203.5500030517578,359538491392,49127
ABNB,136.4600067138672,86300442624,73281
ABT,118.5999984741211,205706952704,84317
ACGL,96.0199966430664,36122722304,104144
ACN,345.6700134277344,215993974784,28929
ADBE,482.79998779296875,212528562176,20712
ADI,225.47999572753906,111949234176,44349
ADM,54.63999938964844,26125678592,183016
ADP,288.17999267578125,117420949504,34700
ADSK,286.57000732421875,61758414848,34895
AEE,85.87999725341797,22914242560,116441
AEP,97.25,51748671488,102827
AES,14.710000038146973,10459207680,679809
AFL,104.70999908447266,58169335808,95501
AIG,75.72000122070312,48759967744,132065
AIZ,191.75999450683594,9931882496,52148
AJG,280.3999938964844,61532655616,35663
AKAM,100.56999969482422,15238969344,99433
ALB,98.23999786376953,11546441728,101791
ALGN,208.5800018310547,15580321792,47943
ALL,184.14999389648438,48763473920,54303
ALLE,139.8300018310547,12155323392,71515
AMAT,183.3800048828125,151179198464,54531
AMCR,10.260000228881836,14829189120,974658
AMD,141.86000061035156,230211829760,70492
AME,178.42999267578125,41272283136,56044
AMGN,319.2200012207031,171591286784,31326
AMP,507.17999267578125,49297895424,19716
AMT,211.25999450683594,98719473664,47335
AMTM,30.790000915527344,7491268608,324780
AMZN,197.92999267578125,2081233960960,50522
ANET,394.1700134277344,123829690368,25369
ANSS,323.75,28291411968,30888
AON,364.4200134277344,78811660288,27440
AOS,75.4000015258789,10932623360,132625
APA,23.09000015258789,8541106176,433087
APD,309.2099914550781,68741709824,32340
APH,67.86000061035156,81812692992,147362
APTV,56.369998931884766,13248978944,177399
ARE,110.86000061035156,19374114816,90203
ATO,138.39999389648438,21484244992,72254
AVB,216.27999877929688,30758690816,46236
AVGO,168.9199981689453,788954415104,59199
AVY,206.11000061035156,16560196608,48517
AWK,136.0,26505584640,73529
AXON,425.8399963378906,32182560768,23482
AXP,272.69000244140625,192095109120,36671
AZO,2981.18994140625,50394927104,3354
BA,154.58999633789062,115567771648,64687
BAC,41.7599983215332,320419463168,239463
BALL,59.0099983215332,17610117120,169462
BAX,35.869998931884766,18300084224,278784
BBY,90.9000015258789,19518502912,110010
BDX,235.24000549316406,67994238976,42509
BEN,20.84000015258789,10899278848,479846
BF-B,43.59000015258789,20484902912,229410
BG,82.62000274658203,11535983616,121036
BIIB,173.7899932861328,25324505088,57540
BK,75.30999755859375,54756245504,132784
BKNG,4749.10986328125,157179871232,2105
BKR,37.849998474121094,37453557760,264200
BLDR,172.02000427246094,20032417792,58132
BLK,985.0800170898438,145917935616,10151
BMY,54.31999969482422,110170734592,184094
BR,210.2100067138672,24570607616,47571
BRK-B,452.1400146484375,974266761216,22117
BRO,104.16999816894531,29788246016,95996
BSX,83.62000274658203,123241668608,119588
BWA,33.439998626708984,7313327616,299043
BX,168.13999938964844,203933646848,59474
BXP,79.16000366210938,14020503552,126326
C,63.709999084472656,120494718976,156961
CAG,28.969999313354492,13826597888,345184
CAH,116.12999725341797,28104620032,86110
CARR,72.58999633789062,65129705472,137760
CAT,379.6300048828125,184081825792,26341
CB,277.4100036621094,111823413248,36047
CBOE,210.0,21984059392,47619
CBRE,130.17999267578125,39837417472,76816
CCI,106.58000183105469,46319456256,93826
CCL,21.899999618530273,29386514432,456621
CDNS,282.0899963378906,77366853632,35449
CDW,188.3800048828125,25104273408,53084
CE,124.80999755859375,13637239808,80121
CEG,258.1000061035156,80705028096,38744
CF,84.05999755859375,14628120576,118962
CFG,41.81999969482422,18618974208,239120
CHD,104.75,25663541248,95465
CHRW,101.81999969482422,11941754880,98212
CHTR,366.489990234375,52113412096,27285
CI,316.489990234375,88032641024,31596
CINF,140.64999389648438,21985703936,71098
CL,93.33000183105469,76251635712,107146
CLX,163.11000061035156,20189919232,61308
CMCSA,43.560001373291016,166684082176,229568
CME,223.61000061035156,80521289728,44720
CMG,58.59000015258789,79834144768,170677
CMI,328.510009765625,45021638656,30440
CMS,68.30000305175781,20407015424,146412
CNC,63.52000045776367,32069023744,157430
CNP,28.579999923706055,18626357248,349895
COF,163.89999389648438,62529490944,61012
COO,105.8499984741211,21080662016,94473
COP,107.83999633789062,124114124800,92729
COR,234.27000427246094,45918793728,42685
COST,877.3099975585938,388713250816,11398
CPAY,329.80999755859375,22899697664,30320
CPB,46.33000183105469,13788550144,215842
CPRT,51.4900016784668,49604177920,194212
CPT,113.7300033569336,12132830208,87927
CRL,180.9600067138672,9343091712,55260
