,Symbol,Price,Gross Profit,EBITDA,trailingPE,enterpriseValue,bookValue,priceToBook,ebitda,priceToSalesTrailing12Months,EV/EBITDA,EV/Gross Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross Profit Percentile,RV score,Num_shares_to_buy
0,BG,82.62000274658203,4845000000.0,4018000000.0,10.471483,16622991360.0,72.587,1.1382204,2486000128.0,0.21166167,4.13713075161772,3.430957969040248,0.051948051948051945,0.028571428571428567,0.007792207792207791,0.015584415584415583,0.05454545454545454,0.03168831168831169,121036
1,CNC,63.52000045776367,17315000000.0,5616000000.0,10.970639,32207024128.0,53.535,1.1865135,5919000064.0,0.21934436,5.734868968660969,1.8600649222061796,0.06233766233766233,0.03896103896103895,0.010389610389610388,0.04155844155844155,0.007792207792207791,0.0322077922077922,157430
2,CVS,55.810001373291016,54431000000.0,18197000000.0,9.930606,137948823552.0,59.658,0.935499,16099999744.0,0.1940221,7.580855281200198,2.534379738604839,0.04155844155844155,0.015584415584415583,0.005194805194805194,0.09610389610389608,0.023376623376623374,0.03636363636363636,179179
3,VLO,128.22000122070312,12889000000.0,15061000000.0,11.277045,48961556480.0,79.767,1.6074317,7816000000.0,0.3153283,3.2508835057433108,3.798708703545659,0.06753246753246753,0.0883116883116883,0.023376623376623374,0.005194805194805194,0.05974025974025974,0.04883116883116883,77990
4,BWA,33.439998626708984,2568000000.0,1646000000.0,8.277227,10248324096.0,28.148,1.1880062,1882000000.0,0.5161499,6.22619932928311,3.990780411214953,0.023376623376623374,0.04155844155844155,0.049350649350649346,0.057142857142857134,0.07532467532467532,0.049350649350649346,299043
5,APA,23.09000015258789,4227000000.0,4750000000.0,2.4989178,16299103232.0,14.664,1.5746045,5416999936.0,0.95881295,3.431390154105263,3.855950610835108,0.002597402597402597,0.0805194805194805,0.10389610389610389,0.007792207792207791,0.06493506493506493,0.051948051948051945,433087
6,ADM,54.63999938964844,7513000000.0,6000000000.0,10.884462,37550682112.0,46.335,1.1792382,3988000000.0,0.29431415,6.258447018666667,4.9980942515639555,0.05974025974025974,0.033766233766233764,0.018181818181818177,0.05974025974025974,0.11948051948051948,0.05818181818181818,183016
7,TAP,55.0,4368800000.0,2169300000.0,10.091743,17424750592.0,57.831,0.951047,2558799872.0,0.9553301,8.032430088968791,3.9884523420618936,0.04675324675324675,0.018181818181818177,0.10129870129870129,0.10649350649350647,0.07272727272727271,0.06909090909090908,181818
8,BEN,20.84000015258789,6349900000.0,1984800000.0,12.944099,13562587136.0,24.653,0.8453332,1807100032.0,1.3206605,6.833226086255542,2.1358741296713335,0.10649350649350647,0.010389610389610388,0.1688311688311688,0.07272727272727271,0.012987012987012986,0.07428571428571427,479846
9,LKQ,36.900001525878906,5575000000.0,1768000000.0,13.616237,15029521408.0,23.867,1.5460678,1732000000.0,0.66159904,8.500860524886878,2.6958782794618834,0.12467532467532466,0.06753246753246753,0.06493506493506493,0.11688311688311687,0.025974025974025972,0.07999999999999999,271002
